Date,Adj. Close Price
10/09/12,144.01
11/09/12,145.67
12/09/12,146.03
13/09/12,147.88
14/09/12,148.21
17/09/12,148.45
18/09/12,148.39
19/09/12,147.93
20/09/12,147.75
21/09/12,147.61
24/09/12,147.12
25/09/12,146.90
26/09/12,146.19
27/09/12,147.56
28/09/12,148.67
01/10/12,150.83
02/10/12,150.38
03/10/12,150.86
04/10/12,150.77
05/10/12,150.92
08/10/12,150.36
09/10/12,149.05
10/10/12,147.50
11/10/12,147.45
12/10/12,148.92
15/10/12,149.73
16/10/12,151.21
17/10/12,143.78
18/10/12,139.71
19/10/12,138.57
22/10/12,139.31
23/10/12,137.06
24/10/12,136.68
25/10/12,137.31
26/10/12,138.50
31/10/12,139.41
01/11/12,141.28
02/11/12,138.62
05/11/12,139.13
06/11/12,139.79
07/11/12,137.59
08/11/12,136.83
09/11/12,136.50
12/11/12,136.22
13/11/12,135.55
14/11/12,133.52
15/11/12,133.77
16/11/12,134.55
19/11/12,137.01
20/11/12,136.18
21/11/12,136.96
23/11/12,139.27
26/11/12,138.83
27/11/12,137.64
28/11/12,138.18
29/11/12,137.86
30/11/12,136.81
03/12/12,136.38
04/12/12,136.30
05/12/12,135.78
06/12/12,136.54
07/12/12,138.16
10/12/12,138.64
11/12/12,139.78
12/12/12,138.88
13/12/12,138.19
14/12/12,138.02
17/12/12,139.36
18/12/12,140.85
19/12/12,140.41
20/12/12,140.19
21/12/12,139.22
24/12/12,138.48
26/12/12,138.16
27/12/12,138.71
28/12/12,136.63
31/12/12,137.87
02/01/13,141.33
03/01/13,140.55
04/01/13,139.63
07/01/13,139.02
08/01/13,138.82
09/01/13,138.43
10/01/13,138.83
11/01/13,139.96
14/01/13,138.64
15/01/13,138.56
16/01/13,138.62
17/01/13,139.38
18/01/13,139.97
22/01/13,141.13
23/01/13,147.35
24/01/13,147.13
25/01/13,147.53
28/01/13,147.50
29/01/13,146.76
30/01/13,146.49
31/01/13,146.16
01/02/13,147.68
04/02/13,146.68
05/02/13,145.96
06/02/13,145.30
07/02/13,144.37
08/02/13,145.77
11/02/13,144.68
12/02/13,144.59
13/02/13,144.62
14/02/13,144.31
15/02/13,145.27
19/02/13,144.79
20/02/13,144.06
21/02/13,143.35
22/02/13,145.35
25/02/13,142.76
26/02/13,143.94
27/02/13,146.24
28/02/13,145.16
01/03/13,146.66
04/03/13,148.31
05/03/13,149.28
06/03/13,150.62
07/03/13,151.37
08/03/13,152.06
11/03/13,151.85
12/03/13,152.18
13/03/13,153.28
14/03/13,155.98
15/03/13,155.34
18/03/13,154.11
19/03/13,154.27
20/03/13,155.44
21/03/13,153.42
22/03/13,153.29
25/03/13,152.32
26/03/13,153.49
27/03/13,152.43
28/03/13,154.17
01/04/13,153.51
02/04/13,154.94
03/04/13,153.71
04/04/13,152.73
05/04/13,151.36
08/04/13,151.30
09/04/13,151.22
10/04/13,153.23
11/04/13,153.90
12/04/13,152.78
15/04/13,151.25
16/04/13,153.23
17/04/13,151.55
18/04/13,149.73
19/04/13,137.33
22/04/13,135.76
23/04/13,138.50
24/04/13,138.57
25/04/13,140.19
26/04/13,140.45
29/04/13,143.94
30/04/13,146.40
01/05/13,144.29
02/05/13,146.29
03/05/13,147.82
06/05/13,146.57
07/05/13,147.18
08/05/13,148.74
09/05/13,147.59
10/05/13,148.48
13/05/13,147.03
14/05/13,147.57
15/05/13,147.65
16/05/13,148.64
17/05/13,151.37
20/05/13,150.76
21/05/13,151.52
22/05/13,150.31
23/05/13,149.71
24/05/13,149.39
28/05/13,150.89
29/05/13,150.99
30/05/13,152.03
31/05/13,151.06
03/06/13,151.74
04/06/13,149.73
05/06/13,147.23
06/06/13,148.00
07/06/13,149.85
10/06/13,148.88
11/06/13,148.13
12/06/13,146.11
13/06/13,147.97
14/06/13,146.83
17/06/13,147.44
18/06/13,148.77
19/06/13,146.65
20/06/13,143.31
21/06/13,141.94
24/06/13,140.55
25/06/13,141.59
26/06/13,141.50
27/06/13,142.08
28/06/13,138.78
01/07/13,138.90
02/07/13,139.06
03/07/13,140.34
05/07/13,141.56
08/07/13,141.59
09/07/13,138.92
10/07/13,139.61
11/07/13,140.01
12/07/13,139.48
15/07/13,140.88
16/07/13,140.77
17/07/13,141.28
18/07/13,143.78
19/07/13,140.55
22/07/13,140.95
23/07/13,141.59
24/07/13,142.78
25/07/13,143.22
26/07/13,143.31
29/07/13,142.48
30/07/13,142.34
31/07/13,141.64
01/08/13,142.19
02/08/13,141.72
05/08/13,141.97
06/08/13,138.69
07/08/13,137.61
08/08/13,137.15
09/08/13,137.07
12/08/13,138.00
13/08/13,137.51
14/08/13,136.86
15/08/13,135.59
16/08/13,135.26
19/08/13,134.45
20/08/13,134.69
21/08/13,134.91
22/08/13,135.15
23/08/13,135.32
26/08/13,134.83
27/08/13,133.37
28/08/13,132.94
29/08/13,133.29
30/08/13,133.02
03/09/13,134.26
04/09/13,133.65
05/09/13,134.40
06/09/13,133.58
09/09/13,135.00
10/09/13,136.18
11/09/13,139.18
12/09/13,139.20
13/09/13,140.25
16/09/13,140.96
17/09/13,140.24
18/09/13,141.89
19/09/13,141.14
20/09/13,138.68
23/09/13,139.39
24/09/13,138.64
25/09/13,138.28
26/09/13,138.83
27/09/13,136.42
30/09/13,135.15
01/10/13,136.02
02/10/13,134.99
03/10/13,134.18
04/10/13,134.36
07/10/13,132.83
08/10/13,130.43
09/10/13,132.33
10/10/13,134.85
11/10/13,135.86
14/10/13,136.45
15/10/13,134.77
16/10/13,136.28
17/10/13,127.59
18/10/13,126.83
21/10/13,126.16
22/10/13,127.70
23/10/13,128.28
24/10/13,129.76
25/10/13,129.07
28/10/13,129.43
29/10/13,132.91
30/10/13,131.48
31/10/13,130.79
01/11/13,130.80
04/11/13,131.56
05/11/13,129.80
06/11/13,131.48
07/11/13,132.07
08/11/13,132.06
11/11/13,134.19
12/11/13,134.32
13/11/13,134.68
14/11/13,133.69
15/11/13,134.41
18/11/13,135.35
19/11/13,135.92
20/11/13,135.88
21/11/13,135.10
22/11/13,133.03
25/11/13,131.29
26/11/13,130.10
27/11/13,131.32
29/11/13,131.84
02/12/13,130.22
03/12/13,129.20
04/12/13,128.95
05/12/13,129.20
06/12/13,130.36
09/12/13,130.21
10/12/13,129.96
11/12/13,128.55
12/12/13,127.21
13/12/13,126.79
16/12/13,130.49
17/12/13,128.96
18/12/13,131.12
19/12/13,132.23
20/12/13,132.09
23/12/13,133.71
24/12/13,134.43
26/12/13,136.00
27/12/13,135.80
30/12/13,136.78
31/12/13,137.63
02/01/14,136.13
03/01/14,136.94
06/01/14,136.47
07/01/14,139.20
08/01/14,137.92
09/01/14,137.49
10/01/14,137.40
13/01/14,135.12
14/01/14,136.42
15/01/14,137.75
16/01/14,138.50
17/01/14,139.48
21/01/14,138.26
22/01/14,133.72
23/01/14,134.08
24/01/14,131.81
27/01/14,130.53
28/01/14,129.76
29/01/14,129.43
30/01/14,130.14
31/01/14,129.64
03/02/14,126.86
04/02/14,126.82
05/02/14,127.85
06/02/14,128.86
07/02/14,130.77
10/02/14,130.69
11/02/14,132.57
12/02/14,132.97
13/02/14,134.15
14/02/14,135.52
18/02/14,135.15
19/02/14,134.97
20/02/14,135.94
21/02/14,134.85
24/02/14,135.34
25/02/14,135.18
26/02/14,135.79
27/02/14,136.68
28/02/14,136.61
03/03/14,135.94
04/03/14,137.55
05/03/14,138.06
06/03/14,138.43
07/03/14,138.46
10/03/14,137.51
11/03/14,137.78
12/03/14,137.39
13/03/14,135.67
14/03/14,134.43
17/03/14,137.08
18/03/14,137.82
19/03/14,136.27
20/03/14,138.62
21/03/14,137.72
24/03/14,138.88
25/03/14,143.89
26/03/14,142.11
27/03/14,140.05
28/03/14,140.51
31/03/14,142.01
01/04/14,143.49
02/04/14,142.79
03/04/14,142.16
04/04/14,141.48
07/04/14,143.51
08/04/14,142.60
09/04/14,145.07
10/04/14,144.36
11/04/14,144.00
14/04/14,145.91
15/04/14,145.35
16/04/14,144.90
17/04/14,140.18
21/04/14,141.85
22/04/14,141.76
23/04/14,141.45
24/04/14,140.34
25/04/14,139.90
28/04/14,142.49
29/04/14,143.94
30/04/14,144.95
01/05/14,142.78
02/05/14,141.24
05/05/14,141.10
06/05/14,140.20
07/05/14,140.47
08/05/14,140.18
09/05/14,141.05
12/05/14,142.90
13/05/14,142.61
14/05/14,140.04
15/05/14,138.36
16/05/14,138.81
19/05/14,138.76
20/05/14,137.20
21/05/14,138.31
22/05/14,137.78
23/05/14,137.98
27/05/14,137.12
28/05/14,135.85
29/05/14,136.36
30/05/14,136.80
02/06/14,137.79
03/06/14,136.81
04/06/14,136.92
05/06/14,138.01
06/06/14,138.30
09/06/14,138.18
10/06/14,136.75
11/06/14,135.24
12/06/14,134.47
13/06/14,135.47
16/06/14,135.31
17/06/14,135.25
18/06/14,136.24
19/06/14,135.66
20/06/14,134.72
23/06/14,135.16
24/06/14,134.22
25/06/14,134.10
26/06/14,133.84
27/06/14,134.84
30/06/14,134.51
01/07/14,138.28
02/07/14,139.80
03/07/14,139.90
07/07/14,139.54
08/07/14,138.93
09/07/14,139.82
10/07/14,139.28
11/07/14,139.51
14/07/14,140.89
15/07/14,139.87
16/07/14,142.74
17/07/14,142.84
18/07/14,142.85
21/07/14,141.62
22/07/14,144.02
23/07/14,143.68
24/07/14,144.88
25/07/14,144.25
28/07/14,145.28
29/07/14,144.38
30/07/14,143.96
31/07/14,142.23
01/08/14,140.36
04/08/14,140.72
05/08/14,138.84
06/08/14,138.82
07/08/14,137.57
08/08/14,139.31
11/08/14,139.94
12/08/14,139.84
13/08/14,140.29
14/08/14,140.24
15/08/14,139.87
18/08/14,141.35
19/08/14,141.88
20/08/14,141.90
21/08/14,142.74
22/08/14,142.13
25/08/14,142.69
26/08/14,144.06
27/08/14,143.50
28/08/14,143.32
29/08/14,143.54
02/09/14,142.99
03/09/14,143.28
04/09/14,142.33
05/09/14,142.72
